District,Total population,Population under age 18,Percent under age 18,Population ages 65+,Percent ages 65+,Male population,Percent male,Female population,Percent female,Latino population,Percent Latino,White population,Percent white,Black population,Percent black,Other race population,Percent other race,Foreign-born population,Percent foreign-born,Total households,Owner-occupied households,Homeownership rate,Cost-burdened households,Cost-burden rate,Households with a vehicle,Percent of households with a vehicle,Population ages 25+,Adults without high school degree,Percent of adults without high school degree,Adults with bachelor's or higher,Percent of adults with bachelor's or higher,Median household income,Poverty status known,Population in poverty,Poverty rate,Low-income population,Low-income rate,"Under 18, poverty status known",Children in poverty,Child poverty rate,Low-income children,Child low-income rate,"Ages 65+, poverty status known",Seniors in poverty,Senior poverty rate,Low-income seniors,Senior low-income rate,Households receiving public assistance/SNAP,Percent of households receiving public assistance/SNAP
State House District 129,22617,4697,0.208,2578,0.114,11634,0.514,10983,0.486,7664,0.339,8441,0.373,5105,0.226,1407,0.062,6533,0.289,8745,3129,0.358,4026,0.46,7156,0.818,15759,3529,0.224,4288,0.272,51728,21771,3646,0.167,8049,0.37,4693,1453,0.31,2684,0.572,2564,244,0.095,876,0.342,1719,0.197
State House District 130,23653,5790,0.245,2139,0.09,11750,0.497,11903,0.503,10345,0.437,2779,0.117,8577,0.363,1952,0.083,6337,0.268,8023,1832,0.228,4249,0.53,5456,0.68,14164,4176,0.295,2364,0.167,28634,22346,6722,0.301,12958,0.58,5689,2256,0.397,4109,0.722,2015,525,0.261,1253,0.622,3343,0.417
State House District 131,24711,6261,0.253,3779,0.153,11769,0.476,12942,0.524,1977,0.08,20287,0.821,1143,0.046,1304,0.053,2237,0.091,8535,6348,0.744,2676,0.314,8247,0.966,16576,1302,0.079,6244,0.377,83449,24382,1707,0.07,4789,0.196,6174,535,0.087,1437,0.233,3608,142,0.039,554,0.154,787,0.092
State House District 132,24212,6662,0.275,3964,0.164,11915,0.492,12297,0.508,1026,0.042,21548,0.89,161,0.007,1477,0.061,1981,0.082,8516,7221,0.848,2840,0.333,8296,0.974,15758,478,0.03,10381,0.659,132706,23624,737,0.031,2239,0.095,6539,97,0.015,398,0.061,3710,119,0.032,617,0.166,203,0.024
State House District 133,23766,5330,0.224,2864,0.121,10856,0.457,12910,0.543,2415,0.102,18330,0.771,500,0.021,2521,0.106,4055,0.171,7878,5772,0.733,2930,0.372,7488,0.95,14450,789,0.055,8092,0.56,96639,21407,1334,0.062,3422,0.16,5259,361,0.069,837,0.159,2864,145,0.051,513,0.179,427,0.054
State House District 134,23950,5730,0.239,4475,0.187,11920,0.498,12030,0.502,1302,0.054,21079,0.88,597,0.025,972,0.041,2291,0.096,7263,6734,0.927,2364,0.325,7106,0.978,15520,732,0.047,8665,0.558,131099,22206,698,0.031,2013,0.091,5662,129,0.023,465,0.082,3869,78,0.02,374,0.097,368,0.051
State House District 135,23782,6178,0.26,3842,0.162,11985,0.504,11797,0.496,1343,0.056,20999,0.883,188,0.008,1252,0.053,2890,0.122,8448,7628,0.903,3308,0.392,8274,0.979,16234,504,0.031,11360,0.7,158618,23685,657,0.028,1600,0.068,6145,125,0.02,262,0.043,3800,91,0.024,329,0.087,146,0.017
State House District 136,25294,7063,0.279,4021,0.159,12170,0.481,13124,0.519,1287,0.051,21660,0.856,175,0.007,2172,0.086,3071,0.121,8897,7533,0.847,2861,0.322,8662,0.974,16679,196,0.012,12907,0.774,170788,25121,1125,0.045,2321,0.092,7047,208,0.03,574,0.081,3896,145,0.037,317,0.081,339,0.038
State House District 137,24445,4463,0.183,3517,0.144,11348,0.464,13097,0.536,5446,0.223,13080,0.535,3904,0.16,2015,0.082,7040,0.288,9907,5064,0.511,4264,0.43,8924,0.901,17823,2020,0.113,7218,0.405,75620,24156,2519,0.104,6086,0.252,4403,420,0.095,1471,0.334,3324,575,0.173,1047,0.315,868,0.088
State House District 138,24872,5512,0.222,3291,0.132,12152,0.489,12720,0.511,4417,0.178,16902,0.68,1426,0.057,2127,0.086,5102,0.205,8607,6463,0.751,2882,0.335,8318,0.966,16455,1421,0.086,7243,0.44,90111,23603,835,0.035,3440,0.146,5399,137,0.025,1187,0.22,3141,102,0.032,438,0.139,348,0.04
State House District 139,23926,4965,0.208,3881,0.162,12104,0.506,11822,0.494,1722,0.072,17702,0.74,1423,0.059,3079,0.129,2377,0.099,9131,6282,0.688,2930,0.321,8426,0.923,16950,1581,0.093,3579,0.211,64758,23786,2465,0.104,5997,0.252,4946,786,0.159,1817,0.367,3782,242,0.064,778,0.206,1316,0.144
State House District 140,24452,5561,0.227,1945,0.08,12229,0.5,12223,0.5,11766,0.481,5272,0.216,5980,0.245,1434,0.059,9990,0.409,8461,3257,0.385,4193,0.496,7254,0.857,15573,3453,0.222,3953,0.254,53818,24322,3445,0.142,10063,0.414,5444,1224,0.225,3488,0.641,1945,228,0.117,641,0.33,1563,0.185
State House District 141,24274,7287,0.3,3348,0.138,11885,0.49,12389,0.51,850,0.035,21191,0.873,456,0.019,1777,0.073,2680,0.11,7948,6720,0.845,2664,0.335,7774,0.978,15320,434,0.028,11446,0.747,181548,24274,1197,0.049,2351,0.097,7287,351,0.048,519,0.071,3348,78,0.023,413,0.123,201,0.025
State House District 142,26003,5739,0.221,4411,0.17,12591,0.484,13412,0.516,2944,0.113,19197,0.738,1667,0.064,2195,0.084,5076,0.195,9532,7929,0.832,3140,0.329,9230,0.968,18560,1012,0.055,9896,0.533,115350,25811,674,0.026,2145,0.083,5724,116,0.02,442,0.077,4258,151,0.035,490,0.115,272,0.029
State House District 143,24681,6335,0.257,3816,0.155,11960,0.485,12721,0.515,2216,0.09,19891,0.806,1064,0.043,1510,0.061,3220,0.13,8623,6951,0.806,2979,0.345,8299,0.962,16645,706,0.042,10310,0.619,130681,24642,1222,0.05,2723,0.111,6321,285,0.045,682,0.108,3816,167,0.044,511,0.134,281,0.033
